,0
0,Caldeira
1,Chiller
2,Esquentador
3,Multi-Split
4,Paineis fotovoltaicos
5,Painel solar térmico
6,Recuperador de calor
7,Redes Urbanas - Equipamento para AQS
8,Salamandra
9,Split
10,Termoacumulador
11,VRF
